epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,66.5709,1.86675,0.7152,0.96788,0.88695,0.000237304,0.000237304,0.000237304
2,135.057,0.98364,0.7823,0.9843,0.62616,0.000459619,0.000459619,0.000459619
3,191.159,0.83892,0.79015,0.99286,0.63263,0.000666226,0.000666226,0.000666226
4,248.996,0.77721,0.8187,0.99001,0.53407,0.000643314,0.000643314,0.000643314
5,302.771,0.73125,0.81656,0.99286,0.54537,0.000619752,0.000619752,0.000619752
6,345.73,0.70677,0.82512,0.99429,0.52591,0.00059619,0.00059619,0.00059619
7,387.853,0.64947,0.83726,0.99429,0.48962,0.000572628,0.000572628,0.000572628
8,429.991,0.6436,0.83797,0.99358,0.4882,0.000549066,0.000549066,0.000549066
9,472.369,0.60771,0.82869,0.99358,0.4902,0.000525504,0.000525504,0.000525504
10,514.853,0.58589,0.83369,0.99786,0.48434,0.000501942,0.000501942,0.000501942
11,557.121,0.53742,0.84154,0.99286,0.49047,0.00047838,0.00047838,0.00047838
12,599.544,0.55262,0.83583,0.99572,0.50613,0.000454818,0.000454818,0.000454818
13,641.609,0.5309,0.84725,0.99643,0.46304,0.000431256,0.000431256,0.000431256
14,683.919,0.50942,0.83797,0.99429,0.48921,0.000407694,0.000407694,0.000407694
15,725.578,0.49222,0.84582,0.995,0.46719,0.000384132,0.000384132,0.000384132
16,767.306,0.48987,0.83512,0.99429,0.48369,0.00036057,0.00036057,0.00036057
17,812.447,0.48899,0.83726,0.99429,0.46848,0.000337008,0.000337008,0.000337008
18,870.332,0.447,0.85439,0.99643,0.44981,0.000313446,0.000313446,0.000313446
19,933.514,0.44951,0.84511,0.99572,0.46597,0.000289884,0.000289884,0.000289884
20,997.191,0.43866,0.84797,0.99429,0.46826,0.000266322,0.000266322,0.000266322
21,1065.47,0.43284,0.85082,0.995,0.45394,0.00024276,0.00024276,0.00024276
22,1116.57,0.42731,0.85225,0.99429,0.45587,0.000219198,0.000219198,0.000219198
23,1181.67,0.39059,0.85296,0.99429,0.45031,0.000195636,0.000195636,0.000195636
24,1254.41,0.40467,0.86153,0.99358,0.43593,0.000172074,0.000172074,0.000172074
25,1305.44,0.41054,0.86224,0.995,0.44058,0.000148512,0.000148512,0.000148512
26,1357.46,0.37187,0.85653,0.99572,0.43723,0.00012495,0.00012495,0.00012495
27,1409.87,0.3704,0.8601,0.99215,0.44353,0.000101388,0.000101388,0.000101388
28,1462.91,0.3666,0.85724,0.99429,0.44549,7.7826e-05,7.7826e-05,7.7826e-05
29,1515.74,0.36785,0.85724,0.99429,0.43153,5.4264e-05,5.4264e-05,5.4264e-05
30,1571.73,0.35939,0.85582,0.995,0.45057,3.0702e-05,3.0702e-05,3.0702e-05
